CONTROL_NUMBER,DONOR_AGE,URBANICITY,SES,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,RECENT_STAR_STATUS,TARGET_B,MONTHS_SINCE_ORIGIN,IN_HOUSE,PEP_STAR,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,RECENT_AVG_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LAST_GIFT_AMT,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PCT_VIETNAM_VETERANS,PER_CAPITA_INCOME,_NAME_,causes donated to last year,familiarity with programs,willingness to recommend
30457,34,R,2,49,H,M,4,0,0,17,0,0,F,1,25,1,0,20,6,16,25,1,25,0,25,20,20,,708,311,85,35,11372,survey_value,0,0,5
30468,55,R,2,47,H,F,6,3,0,65,0,1,A,1,12.5,4,2,17,21,51,116,13,8.92,15,20,17,58,3,367,209,81,31,9177,survey_value,2,2,7
30472,,R,3,51,U,F,,0,0,17,0,0,N,3,8,2,1,16,8,19,28,3,9.33,7,12,15,20,,408,258,86,30,9021,survey_value,2,2,7
30474,,R,2,43,H,U,5,1,0,41,0,1,S,4,14,6,4,15,15,37,94,8,11.75,15,15,15,40,,508,221,84,30,7616,survey_value,1,1,6
30539,76,R,2,49,U,M,,0,0,101,0,0,A,1,12,3,2,16,27,72,117,13,9,12,12,16,99,5,678,305,70,42,11687,survey_value,4,4,9
30541,,R,1,42,U,U,,0,0,101,0,1,A,3,5.8,5,2,17,27,68,88,17,5.18,4,5,17,105,,678,305,70,46,11687,survey_value,5,4,10
30546,,R,2,49,H,M,5,1,0,41,0,1,S,4,8.11,9,6,17,18,41,86,12,7.17,12,10,17,44,,986,452,92,46,21014,survey_value,2,1,7
30551,56,R,1,42,U,M,,0,0,29,0,0,N,1,25,1,1,23,6,15,25,1,25,0,25,23,23,,790,327,63,38,14701,survey_value,1,1,6
30576,56,C,1,22,U,M,1,4,0,89,0,1,A,1,8.5,2,2,28,26,66,133,15,8.87,23,25,21,79,0,1150,160,17,30,20580,survey_value,1,0,6
30578,43,C,2,25,U,F,2,0,0,89,0,0,A,1,25,2,1,19,25,57,120,5,24,5,25,19,89,9,1150,192,31,56,9394,survey_value,1,0,6
30589,34,C,2,28,U,M,,0,0,17,0,0,F,1,20,1,1,18,5,12,20,1,20,0,20,18,18,,561,282,88,17,13788,survey_value,2,1,7
30623,,T,3,41,U,F,,0,0,17,0,0,F,1,20,1,1,19,6,14,20,1,20,0,20,19,19,,557,256,67,72,10714,survey_value,2,1,7
30624,,C,3,32,H,F,1,0,0,17,0,0,F,1,25,1,1,17,6,14,25,1,25,0,25,17,17,,347,175,66,44,7351,survey_value,5,4,10
30629,83,C,2,28,H,F,1,0,1,29,0,0,A,1,10,2,2,24,8,20,20,2,10,10,15,24,29,,680,248,89,28,15732,survey_value,2,1,7
30640,64,C,2,28,H,F,4,0,1,65,0,0,A,2,13,4,3,21,17,44,62,6,10.33,10,15,21,65,5,629,256,50,20,15293,survey_value,2,2,7
30651,67,C,2,28,H,M,1,0,0,137,0,1,A,1,28,1,0,26,30,79,345,16,21.56,25,28,26,110,2,680,248,89,28,15732,survey_value,3,3,8
30660,59,T,1,35,H,F,5,0,0,29,0,0,A,1,13,2,1,22,8,22,26,2,13,6,16,22,31,,1634,764,94,38,30754,survey_value,3,2,8
30665,57,S,2,18,H,F,4,0,0,41,0,1,A,3,9.33,3,2,20,15,38,51,7,7.29,8,6,16,44,,521,353,77,31,11887,survey_value,4,4,9
30676,83,C,3,30,H,M,4,1,0,113,0,1,S,2,14.86,7,4,26,28,75,507,50,10.14,13,15,26,112,4,492,308,84,54,10256,survey_value,0,0,5
30718,41,T,1,35,H,F,6,0,0,17,0,0,F,1,15,1,1,17,5,13,15,1,15,0,15,17,17,,2292,713,94,12,42494,survey_value,4,3,9
30744,66,S,1,12,H,M,6,0,0,29,0,0,A,2,13.33,3,1,19,13,32,50,4,12.5,5,15,19,33,,646,433,89,42,15393,survey_value,2,1,7
30745,,T,3,41,U,F,5,0,1,29,0,0,A,2,13.33,3,1,21,12,32,50,4,12.5,5,15,21,32,,717,339,63,21,14609,survey_value,0,0,5
30779,85,T,3,41,H,F,1,0,0,77,0,0,A,1,13.67,3,1,26,17,46,62,6,10.33,10,15,26,68,0,308,57,40,22,5782,survey_value,5,4,10
30780,81,T,1,35,H,U,4,0,0,89,0,1,A,1,11,2,0,17,20,58,118,15,7.87,10,12,17,86,7,632,276,79,33,15305,survey_value,2,1,7
30795,,T,3,41,U,M,,1,1,101,0,1,S,2,10,3,1,15,26,69,98,18,5.44,9,10,15,105,1,323,183,59,23,7139,survey_value,5,4,10
30804,33,R,3,51,H,F,6,1,0,41,0,1,S,3,7,5,3,19,16,39,50,8,6.25,5,10,19,45,2,405,191,72,30,9103,survey_value,4,3,9
30829,83,T,3,41,H,M,1,0,0,17,0,0,F,1,20,1,1,17,5,13,20,1,20,0,20,17,17,,502,228,50,27,10557,survey_value,2,2,7
30855,40,T,1,35,H,F,6,0,0,17,0,0,F,1,20,1,1,19,6,16,20,1,20,0,20,19,19,,1336,490,84,27,21694,survey_value,5,4,10
30861,70,T,1,34,H,M,2,0,0,41,0,0,A,3,9,4,2,21,15,35,53,7,7.57,6,5,18,41,,943,252,39,13,18017,survey_value,2,1,7
30864,,T,1,34,U,M,,0,0,65,0,0,A,2,12,2,2,23,16,44,41,5,8.2,10,15,23,61,,943,252,39,38,18017,survey_value,1,1,6
30898,,T,2,38,H,U,1,1,0,113,0,1,S,4,24.2,5,2,15,27,69,374,17,22,22,25,15,103,2,521,208,31,39,11683,survey_value,4,3,9
30903,,T,1,35,H,U,6,1,0,137,0,1,S,4,8.22,9,6,15,29,74,182,30,6.07,7,10,15,128,8,878,470,91,32,17259,survey_value,2,2,7
30907,,T,2,36,U,M,,0,1,17,0,0,F,1,15,1,1,17,5,14,15,1,15,0,15,17,17,,803,450,83,18,21132,survey_value,3,2,8
30926,86,R,3,51,H,F,2,1,0,101,0,1,S,2,25,3,1,18,29,73,191,12,15.92,22,25,18,104,3,255,153,49,74,7909,survey_value,2,1,7
30934,7,R,2,43,U,M,2,0,1,89,0,0,A,2,15,2,0,18,20,51,75,6,12.5,10,15,18,88,2,316,213,82,27,8956,survey_value,2,2,7
30963,45,R,2,49,U,F,4,0,0,137,0,1,A,2,12.5,2,0,18,25,62,90,9,10,10,15,18,122,,573,347,90,42,13754,survey_value,0,0,5
30964,,R,3,50,U,F,,0,0,41,0,0,A,4,6.5,6,4,15,15,33,47,8,5.88,5,8,15,40,,509,189,30,25,6739,survey_value,0,0,5
30976,,T,2,39,H,F,6,1,1,113,0,1,S,2,15.67,3,1,17,29,66,165,15,11,12,17,17,111,6,683,250,41,32,9546,survey_value,4,3,9
30978,,R,2,44,H,F,5,0,0,17,0,0,F,1,15,1,1,21,5,13,15,1,15,0,15,21,21,,717,316,63,25,12673,survey_value,0,0,5
30981,73,T,2,40,H,M,4,0,0,29,0,0,N,3,11,2,2,16,8,20,28,3,9.33,6,6,15,24,,673,351,78,38,12919,survey_value,1,1,6
30988,43,R,2,44,U,F,,0,1,41,0,0,A,1,12.5,2,0,17,11,29,30,3,10,10,15,17,42,,717,316,63,25,12673,survey_value,3,3,8
30995,,T,2,40,U,M,2,1,0,137,0,1,S,2,11.8,5,3,20,34,88,288,33,8.73,12,15,20,126,4,668,325,61,25,13078,survey_value,5,4,10
31000,59,R,3,51,U,F,2,0,0,17,0,0,F,1,25,1,0,15,6,12,25,1,25,0,25,15,15,,365,207,87,37,8850,survey_value,0,0,5
31002,81,R,3,51,U,M,2,1,0,137,0,1,S,4,11.71,7,4,16,33,76,247,24,10.29,17,15,16,116,2,365,207,87,37,8850,survey_value,0,0,5
31007,79,R,2,44,H,F,3,1,0,113,0,1,S,2,11.6,5,1,16,28,69,132,14,9.43,9,10,16,110,2,786,320,74,47,12691,survey_value,1,1,6
31017,65,C,3,32,H,F,1,0,0,53,0,0,A,1,15,1,0,19,11,33,30,3,10,10,15,19,52,0,305,162,35,0,5473,survey_value,3,3,8
31039,,T,1,34,U,F,2,0,0,77,0,0,A,2,27.5,4,3,17,21,54,158,6,26.33,7,30,17,68,7,1144,350,56,37,21822,survey_value,2,1,7
31045,37,T,1,35,H,F,7,1,0,137,0,1,S,3,19.75,4,2,18,31,75,214,16,13.38,20,19,18,93,8,648,239,57,30,9721,survey_value,1,0,6
31057,51,R,3,51,H,F,3,0,0,29,0,0,A,1,32.5,2,2,23,11,25,65,2,32.5,15,40,23,28,,0,0,0,30,0,survey_value,0,0,5
31064,58,R,3,50,H,F,7,0,0,137,0,1,A,3,4.67,3,3,21,28,67,80,18,4.44,2,4,21,126,,343,179,69,35,8468,survey_value,3,2,8
31065,,R,3,50,U,U,4,0,0,17,0,0,F,1,15,1,1,20,5,13,15,1,15,0,15,20,20,,384,172,69,43,8295,survey_value,5,4,10
31073,,R,2,46,U,M,2,1,0,113,0,1,S,2,14.75,4,4,17,24,58,171,15,11.4,22,20,17,113,5,614,267,69,35,11890,survey_value,2,1,7
31084,,R,2,43,U,F,,0,0,77,0,0,A,1,20,2,1,26,17,44,73,5,14.6,12,20,26,74,2,423,216,72,34,9621,survey_value,1,0,6
31094,69,R,3,50,H,F,4,0,1,125,0,0,A,4,6.6,5,1,18,24,54,100,15,6.67,8,5,18,123,,405,166,66,27,7997,survey_value,2,2,7
31108,68,C,3,32,H,F,4,0,0,29,0,0,A,1,20,1,1,28,9,22,40,2,20,0,20,25,28,,429,153,26,12,8362,survey_value,5,4,10
31127,41,R,2,44,H,M,4,0,0,29,0,0,A,4,19,5,4,16,12,35,95,5,19,7,21,16,33,,555,372,86,66,12950,survey_value,3,3,8
31141,39,R,2,47,U,F,,0,0,137,0,0,A,1,25,1,0,25,29,64,83,8,10.38,22,25,25,130,2,507,246,74,36,10534,survey_value,2,2,7
31148,37,C,2,25,U,F,1,0,0,17,0,0,F,1,15,1,1,17,5,13,15,1,15,0,15,17,17,,614,240,12,60,15737,survey_value,2,1,7
31156,51,C,1,24,H,F,4,0,0,29,0,0,A,1,12.5,2,0,18,8,22,25,2,12.5,5,15,18,32,,965,559,83,44,24014,survey_value,2,1,7
31163,67,C,2,28,H,F,3,0,0,41,0,0,A,3,6.5,4,1,16,12,26,29,5,5.8,8,11,16,41,,747,461,89,32,20643,survey_value,3,2,8
31166,,R,2,47,H,M,1,0,0,41,0,0,A,1,12.5,2,0,19,11,26,29,4,7.25,18,20,19,44,,483,272,66,18,10239,survey_value,0,0,5
31174,75,C,2,25,U,F,1,1,0,113,0,1,S,3,9.83,6,5,16,29,76,194,23,8.43,8,10,16,104,2,614,240,12,60,15737,survey_value,5,4,10
31183,54,T,2,38,H,M,6,0,1,89,0,1,A,2,13.67,3,2,16,21,55,96,10,9.6,10,15,16,80,6,621,254,54,59,13234,survey_value,3,3,8
31202,,T,2,39,H,F,5,0,0,29,0,1,A,4,7,5,3,15,10,24,35,5,7,5,10,15,29,,700,303,65,71,14973,survey_value,2,1,7
31206,43,T,2,36,H,F,4,0,0,41,0,1,A,2,10.67,3,3,16,13,29,35,4,8.75,12,15,16,40,,428,231,64,17,10521,survey_value,0,0,5
31211,69,T,1,35,H,F,5,4,0,77,0,1,A,1,25,2,1,18,22,58,107,6,17.83,20,25,18,68,7,1004,461,95,34,22128,survey_value,4,4,9
31217,,T,2,36,H,F,5,3,0,137,0,1,A,1,8,2,1,19,32,69,91,17,5.35,6,10,19,127,3,607,265,67,17,14450,survey_value,4,3,9
31239,,R,2,47,H,F,3,0,1,29,0,0,A,1,12.5,2,2,24,11,28,29,3,9.67,11,15,24,33,,475,248,73,32,10549,survey_value,0,0,5
31247,85,R,3,51,U,F,1,1,0,137,0,1,S,3,28.75,4,1,16,33,79,313.68,28,11.2,27,30,16,123,0,290,114,52,50,6562,survey_value,1,1,6
31262,43,R,2,47,U,F,,0,0,29,0,0,A,1,10,2,1,18,8,20,20,2,10,10,15,18,29,,412,205,76,22,11264,survey_value,0,0,5
31313,31,T,2,40,H,M,2,0,0,29,0,0,N,3,15.33,3,0,18,11,23,46,3,15.33,14,24,18,27,,580,309,86,52,10447,survey_value,5,4,10
31324,36,T,2,40,U,F,5,0,0,113,0,0,A,3,11,2,2,20,26,64,110,11,10,15,20,18,105,3,708,330,75,58,12536,survey_value,1,1,6
31339,48,T,2,36,U,F,,0,0,77,0,0,A,2,17.5,2,1,23,22,59,125,7,17.86,15,10,23,77,2,461,208,57,28,10716,survey_value,2,2,7
31343,71,T,1,34,H,F,2,0,0,113,0,0,A,1,15,1,0,25,23,54,89,7,12.71,7,15,25,101,6,490,300,85,26,17243,survey_value,0,0,5
31365,,R,2,47,U,F,,0,0,17,0,0,F,1,20,1,1,17,6,14,20,1,20,0,20,17,17,,370,245,77,8,10393,survey_value,4,4,9
31367,40,R,3,50,U,F,,0,0,29,0,1,N,3,6.67,3,3,17,9,22,20,3,6.67,5,10,17,23,,339,205,78,30,9547,survey_value,1,0,6
31394,79,R,2,47,U,M,5,1,0,77,0,1,S,3,5,4,0,16,21,52,79,15,5.27,3,5,16,67,3,513,268,72,38,11566,survey_value,2,1,7
31400,,T,2,38,U,F,,0,1,29,0,1,A,3,6.5,4,3,15,9,26,26,4,6.5,5,6,15,29,,650,267,77,0,11773,survey_value,0,0,5
31405,,T,2,36,U,F,2,0,0,41,0,1,E,1,9,3,3,15,12,32,32,4,8,10,15,15,44,,575,269,77,35,14789,survey_value,5,4,10
31414,43,T,1,35,H,F,5,1,0,113,0,1,S,4,8.57,7,6,17,30,80,318,48,6.63,7,6,15,113,5,681,324,83,36,15310,survey_value,2,2,7
31416,74,T,2,36,H,F,1,0,0,137,0,1,A,2,13.33,3,1,16,29,62,80,9,8.89,9,14,16,112,0,317,135,49,33,7038,survey_value,4,3,9
31425,58,T,3,41,U,M,,1,1,137,0,1,S,2,12,2,0,16,32,74,88,18,4.89,12,9,16,126,,671,287,54,0,16517,survey_value,3,2,8
31446,50,R,3,50,U,M,,0,0,29,0,0,N,2,15,2,1,16,8,19,30,2,15,10,20,16,24,,418,209,80,32,8794,survey_value,5,4,10
31461,41,R,2,49,H,F,6,1,1,89,0,1,S,4,19.75,8,5,20,25,67,298,17,17.53,47,50,18,88,4,752,278,83,39,14900,survey_value,2,2,7
31463,,R,3,50,U,F,,0,0,29,0,0,A,2,26.67,3,1,15,11,29,115,4,28.75,15,35,15,32,,419,207,70,47,8783,survey_value,5,4,10
31489,,R,3,50,U,M,4,4,0,113,0,1,A,1,10,1,0,26,26,68,190,22,8.64,5,10,26,104,0,412,206,73,35,9452,survey_value,5,4,10
31491,77,R,2,47,U,M,,0,0,137,0,0,A,1,19,2,2,20,15,39,126,12,10.5,16,19,20,126,1,412,206,73,18,9452,survey_value,4,4,9
31496,75,R,2,46,U,M,2,0,0,29,0,0,A,1,20,1,0,16,9,22,30,2,15,10,20,16,31,,531,282,77,45,12154,survey_value,4,3,9
31505,41,R,2,43,U,F,,0,0,137,0,0,A,4,16.83,6,4,16,30,67,201,14,14.36,15,20,16,98,4,477,269,83,46,12330,survey_value,1,1,6
31549,67,C,3,30,H,F,2,0,0,65,0,0,A,2,27.5,2,1,21,18,46,85,5,17,25,30,21,57,0,526,216,46,60,18046,survey_value,2,2,7
31552,47,C,3,31,U,M,2,0,0,101,0,0,A,1,18.5,2,0,18,22,54,74,7,10.57,17,22,18,90,0,238,114,10,50,6628,survey_value,3,2,8
31555,69,C,3,30,H,M,4,0,0,113,0,0,A,1,20,1,0,22,28,66,163,8,20.38,15,20,22,112,3,448,239,68,68,12647,survey_value,5,4,10
31559,83,C,2,27,U,F,,1,0,137,0,1,S,3,10,3,2,21,21,53,186,23,8.09,10,10,21,126,5,564,311,83,63,12326,survey_value,5,4,10
31572,,C,2,28,U,M,1,0,0,41,0,1,A,2,14.25,4,2,23,16,39,69,6,11.5,10,15,23,44,5,759,296,63,0,15943,survey_value,3,2,8
31616,47,C,2,27,H,F,4,0,1,29,0,0,A,3,6.75,4,2,22,12,28,33,5,6.6,5,7,22,32,,555,302,82,51,9891,survey_value,3,2,8
31631,,C,2,27,U,F,2,0,0,41,0,0,A,1,25,1,0,26,12,29,55,3,18.33,20,25,26,35,,523,302,77,58,10074,survey_value,1,0,6
31660,43,T,1,35,H,M,4,0,0,17,0,0,F,1,15,1,1,17,5,13,15,1,15,0,15,17,17,,793,425,86,53,15974,survey_value,0,0,5
31662,35,C,2,27,H,M,4,0,0,17,0,0,F,1,20,1,0,20,6,14,20,1,20,0,20,20,20,,639,349,85,48,14564,survey_value,0,0,5
31685,71,C,2,28,H,F,3,6,0,137,0,1,A,1,10.67,3,1,19,32,78,115,30,3.83,11,10,19,128,5,542,273,70,9,14090,survey_value,5,4,10
31702,63,R,2,49,H,F,2,0,0,101,0,1,A,1,15,1,1,21,21,52,56,6,9.33,12,15,21,99,3,676,291,83,33,11543,survey_value,0,0,5
31711,43,?,?,,H,F,4,0,0,41,0,1,A,1,20,3,1,18,16,39,130,7,18.57,10,20,18,44,0,669,242,61,0,13815,survey_value,4,3,9
31712,,S,3,21,U,F,,1,0,41,0,1,S,4,7.38,8,4,15,17,42,76,12,6.33,7,6,15,44,,0,0,0,0,0,survey_value,2,1,7
31735,,T,1,34,H,F,4,0,1,29,0,0,A,1,11,2,2,21,8,22,22,2,11,12,17,21,29,,881,355,61,27,17641,survey_value,4,3,9
31746,69,T,2,39,H,M,1,1,1,41,0,1,S,3,9,5,1,25,16,41,75,9,8.33,5,5,25,45,4,576,326,64,32,11310,survey_value,0,0,5
31752,55,T,1,34,H,M,5,11,0,137,0,1,A,1,23,2,2,21,32,81,535,43,12.44,22,25,21,125,8,1058,410,68,40,20394,survey_value,0,0,5
31757,37,?,?,,U,F,1,0,0,29,0,1,A,4,16.25,4,3,15,8,17,80,6,13.33,15,20,15,29,,660,307,69,0,14484,survey_value,1,1,6
31773,62,T,2,39,H,M,5,0,0,17,0,0,N,2,10,2,1,17,7,18,20,2,10,10,15,17,20,,758,260,65,40,11549,survey_value,2,2,7
31778,54,T,1,35,H,M,7,0,1,101,0,0,A,1,12,2,0,19,21,60,181,9,20.11,40,12,19,93,8,986,485,93,56,18013,survey_value,5,4,10
31805,65,T,3,41,H,M,2,0,0,17,0,0,F,2,30,1,0,16,6,15,50,2,25,10,20,15,16,,232,154,72,25,7144,survey_value,3,3,8
31852,49,S,1,12,H,F,7,0,1,77,0,0,A,1,21,1,0,25,21,50,76,5,15.2,16,21,25,67,8,985,480,77,65,15195,survey_value,1,1,6
31879,67,T,2,39,H,M,2,1,1,77,0,1,S,4,10.6,5,4,17,22,57,116,13,8.92,7,6,15,73,6,790,313,80,43,12493,survey_value,4,3,9
31887,,S,2,18,U,M,,0,1,113,0,0,A,4,4.33,3,2,18,22,50,96,9,10.67,23,5,18,105,,677,258,43,20,11699,survey_value,0,0,5
31893,,T,2,38,U,F,2,0,1,17,0,0,F,1,20,1,1,21,6,15,20,1,20,0,20,21,21,,375,267,6,46,8354,survey_value,1,1,6
31900,,S,2,18,U,F,,0,0,29,0,0,N,1,20,1,1,26,7,17,20,1,20,0,20,26,26,,472,231,78,35,8398,survey_value,1,1,6
31905,,S,1,12,U,M,,1,0,29,0,1,S,3,7.25,4,2,16,13,32,44,6,7.33,7,10,16,33,,985,388,88,32,17122,survey_value,3,3,8
31911,,S,1,12,U,F,5,0,1,41,0,1,A,3,4.8,5,4,16,13,32,30,7,4.29,7,5,16,41,,800,294,59,65,13480,survey_value,4,3,9
31916,,T,1,35,U,U,,1,0,41,0,1,S,4,4,12,7,15,17,41,65,17,3.82,4,5,15,45,,924,332,46,46,16646,survey_value,1,1,6
31938,37,T,1,35,H,M,7,0,0,125,0,1,A,2,12,3,2,15,19,56,67,10,6.7,11,12,15,125,,986,485,93,56,18013,survey_value,2,2,7
31953,,T,1,34,U,M,4,0,1,89,0,0,A,1,15,2,2,25,24,54,110,9,12.22,10,15,25,86,9,1210,471,73,29,17995,survey_value,0,0,5
31959,63,T,1,34,H,M,6,0,1,17,0,0,F,1,0,0,0,,4,12,25,1,25,0,25,19,19,,1548,572,65,25,40741,survey_value,4,3,9
31968,57,T,1,34,H,F,7,0,0,41,0,1,A,1,25,2,1,25,17,37,70,4,17.5,20,25,25,44,9,1513,521,72,27,28124,survey_value,3,3,8
31977,70,T,1,34,H,F,7,0,1,77,0,1,A,2,22.33,3,2,20,20,54,111,6,18.5,15,22,20,77,9,1513,521,72,27,28124,survey_value,5,4,10
31981,74,T,1,34,H,F,2,0,0,101,0,1,A,1,20,1,0,26,21,55,69,7,9.86,15,20,26,96,8,878,399,52,34,22280,survey_value,2,1,7
31985,76,T,1,34,H,M,7,0,0,137,0,1,A,1,20,1,1,21,24,60,89,7,12.71,15,20,21,130,9,1548,572,65,25,40741,survey_value,1,0,6
31997,79,T,2,38,H,M,5,0,0,29,0,0,N,2,9,2,2,19,10,23,18,2,9,12,15,19,23,,924,254,57,32,16969,survey_value,1,1,6
32007,,C,1,23,U,F,,1,0,89,0,1,S,2,9.67,3,2,20,22,60,70,10,7,10,13,20,86,,680,358,81,13,14402,survey_value,3,3,8
32040,69,C,1,22,U,M,2,0,1,89,0,0,A,1,12.5,2,1,18,19,48,56,6,9.33,10,15,18,79,3,397,184,64,30,9831,survey_value,4,4,9
32057,,R,2,45,U,F,,0,0,29,0,0,A,3,12,3,0,18,11,25,46,4,11.5,4,12,18,28,,419,257,73,35,11648,survey_value,3,2,8
32079,,T,2,38,H,F,4,0,0,29,0,0,N,1,15,1,1,24,6,16,15,1,15,0,15,24,24,,603,249,73,31,13708,survey_value,5,4,10
32091,69,T,2,36,H,U,3,1,0,101,0,1,S,2,9.67,3,1,21,27,68,120,17,7.06,8,11,21,90,2,576,224,77,29,8705,survey_value,4,3,9
32096,52,R,3,50,H,M,6,0,1,29,0,1,A,1,13,2,2,24,9,22,26,2,13,6,16,24,29,,351,205,82,30,8456,survey_value,3,3,8
32098,35,R,3,50,H,F,4,0,0,29,0,0,A,2,15,2,1,18,9,24,35,3,11.67,15,10,18,30,,351,205,82,34,8456,survey_value,4,3,9
32103,,R,2,49,U,F,,1,0,41,0,1,S,4,18.57,7,4,16,15,39,155,9,17.22,35,20,16,43,,670,292,91,61,11490,survey_value,2,1,7
32116,,S,1,13,U,M,4,0,0,29,0,0,A,3,8.67,3,1,15,9,25,36,4,9,2,9,15,30,,1285,435,85,26,24400,survey_value,4,3,9
32119,67,R,2,46,H,F,3,1,0,137,0,1,S,3,11.4,5,3,20,23,55,210,24,8.75,12,10,20,117,0,945,296,77,20,13210,survey_value,2,1,7
32140,82,R,3,51,H,F,3,13,0,137,0,1,L,1,18,2,1,15,31,79,198,18,11,17,18,15,125,2,430,182,79,14,8369,survey_value,5,4,10
32153,69,C,3,31,U,M,3,0,0,77,0,1,A,1,15,1,0,26,19,49,75,6,12.5,10,15,26,67,2,625,161,16,21,9824,survey_value,5,4,10
32198,53,C,1,23,H,F,5,0,1,29,0,1,A,3,7.5,4,3,17,10,24,30,4,7.5,5,10,17,29,,1146,384,81,14,24850,survey_value,3,2,8
32199,70,C,2,26,H,M,1,0,0,29,0,0,A,2,15.67,3,2,19,11,25,47,3,15.67,2,17,19,29,,771,353,77,24,20119,survey_value,2,2,7
32210,82,C,2,26,U,M,,0,0,77,0,1,A,1,50,1,0,26,21,54,248,8,31,45,50,26,69,8,771,353,77,24,20119,survey_value,3,2,8
32219,87,C,2,28,H,M,1,0,0,101,0,0,A,1,12.5,2,0,18,17,49,57,6,9.5,10,15,18,92,6,884,371,91,32,17930,survey_value,2,2,7
32223,,C,2,25,U,U,,1,0,137,0,1,S,4,11.14,7,3,15,32,82,257,30,8.57,12,11,15,126,0,756,150,24,23,12651,survey_value,5,4,10
32224,79,C,2,28,H,F,2,1,0,137,0,1,S,2,11,2,2,17,30,78,212,28,7.57,9,3,15,126,4,730,247,70,26,15385,survey_value,1,1,6
32230,73,S,2,20,H,F,5,1,0,101,0,1,S,4,4.5,10,7,18,24,51,73,18,4.06,3,5,18,91,3,972,320,61,6,16293,survey_value,1,0,6
32241,39,S,2,17,H,F,7,1,0,41,0,1,S,3,12.5,4,2,19,16,38,65,8,8.13,18,10,19,44,,900,328,80,18,13727,survey_value,4,4,9
32242,41,S,2,16,H,M,3,0,0,53,0,1,A,3,13,4,3,17,17,44,83,8,10.38,9,14,17,53,3,642,299,64,20,13052,survey_value,0,0,5
32260,82,C,3,33,U,M,,3,0,137,0,1,A,1,8.75,4,2,26,33,85,476,52,9.15,22,10,26,130,1,372,218,71,4,10909,survey_value,4,3,9
32278,57,C,1,24,H,F,5,0,0,137,0,1,A,2,10,3,1,21,29,66,90,13,6.92,5,10,21,124,,1187,428,90,15,25555,survey_value,4,3,9
32282,51,C,2,28,H,F,3,14,0,113,0,1,A,1,15,2,2,24,29,66,127,13,9.77,10,15,24,113,6,1153,344,86,21,20471,survey_value,4,4,9
32288,61,C,3,33,H,F,1,0,1,41,0,0,A,3,10.67,3,1,16,13,34,40,5,8,12,15,16,44,,875,119,76,0,9084,survey_value,3,2,8
32330,78,C,2,28,H,F,1,1,0,41,0,1,S,3,6.29,7,3,16,14,35,55,10,5.5,8,11,16,41,,338,188,40,22,12007,survey_value,4,3,9
32336,,R,2,46,U,U,,3,0,101,0,1,A,1,9.5,4,4,28,27,71,188,27,6.96,8,10,26,92,0,425,211,76,35,11795,survey_value,4,4,9
32350,79,R,1,42,H,M,4,0,1,113,0,1,A,1,18,2,0,18,26,65,156,12,13,14,19,18,103,,913,256,72,17,14424,survey_value,4,4,9
32359,66,C,2,28,H,M,2,1,1,137,0,1,S,4,3.45,11,8,16,32,84,261,61,4.28,13,3,16,130,3,922,292,70,24,10541,survey_value,5,4,10
32376,79,C,1,23,U,M,1,0,0,65,0,0,A,2,13.33,3,1,16,18,47,61,6,10.17,10,15,16,56,7,1603,387,80,10,27764,survey_value,3,2,8
32380,74,C,2,29,H,M,2,1,1,113,0,1,S,3,5.33,6,5,21,26,66,81,17,4.76,5,5,21,105,,825,266,71,21,17633,survey_value,0,0,5
32390,,T,2,36,U,M,,0,0,29,0,0,A,1,13.33,3,2,22,12,27,40,3,13.33,15,20,22,29,,660,265,86,30,11209,survey_value,1,0,6
32393,71,R,2,48,H,M,2,0,0,29,0,1,A,4,8,6,3,19,11,24,48,6,8,7,6,19,32,,838,242,87,11,13234,survey_value,2,2,7
32394,59,R,2,48,H,M,2,0,0,29,0,0,A,3,10,4,1,18,10,25,40,4,10,0,10,18,32,,838,242,87,11,13234,survey_value,3,2,8
32404,,R,2,47,U,F,,1,0,137,0,1,S,3,12.67,9,6,20,33,79,267,31,8.61,17,14,20,128,0,472,215,77,21,9751,survey_value,1,0,6
32431,69,T,2,37,H,F,3,0,0,17,0,0,N,3,10,2,2,17,8,19,26,3,8.67,4,10,17,21,,523,249,79,9,14704,survey_value,4,3,9
32441,69,C,3,33,H,M,4,0,0,77,0,1,A,4,7.15,6,4,21,20,46,58.88,10,5.89,6.88,7,21,77,,687,213,96,6,13059,survey_value,1,1,6
32460,,?,?,,U,F,5,1,0,65,0,1,S,2,12.75,4,3,22,18,44,105,10,10.5,12,17,22,54,,1098,374,79,0,16263,survey_value,5,4,10
