CONTROL_NUMBER,survey_question,survey_value
00029331,causes donated to last year,1
00029334,causes donated to last year,0
00029341,causes donated to last year,3
00029342,causes donated to last year,1
00029345,causes donated to last year,1
00029348,causes donated to last year,1
00029349,causes donated to last year,1
00029364,causes donated to last year,0
00029366,causes donated to last year,5
00029373,causes donated to last year,0
00029374,causes donated to last year,4
00029382,causes donated to last year,0
00029389,causes donated to last year,4
00029401,causes donated to last year,5
00029409,causes donated to last year,4
00029418,causes donated to last year,1
00029427,causes donated to last year,2
00029428,causes donated to last year,4
00029434,causes donated to last year,4
00029441,causes donated to last year,2
00029450,causes donated to last year,1
00029452,causes donated to last year,0
00029483,causes donated to last year,5
00029499,causes donated to last year,3
00029501,causes donated to last year,2
00029505,causes donated to last year,0
00029509,causes donated to last year,5
00029510,causes donated to last year,3
00029514,causes donated to last year,5
00029526,causes donated to last year,1
00029539,causes donated to last year,5
00029540,causes donated to last year,2
00029549,causes donated to last year,4
00029552,causes donated to last year,0
00029564,causes donated to last year,2
00029567,causes donated to last year,4
00029569,causes donated to last year,5
00029587,causes donated to last year,5
00029589,causes donated to last year,0
00029610,causes donated to last year,0
00029611,causes donated to last year,1
00029637,causes donated to last year,3
00029654,causes donated to last year,1
00029657,causes donated to last year,4
00029658,causes donated to last year,2
00029663,causes donated to last year,0
00029669,causes donated to last year,2
00029685,causes donated to last year,4
00029687,causes donated to last year,4
00029693,causes donated to last year,0
00029702,causes donated to last year,2
00029718,causes donated to last year,1
00029722,causes donated to last year,2
00029724,causes donated to last year,2
00029749,causes donated to last year,0
00029760,causes donated to last year,1
00029777,causes donated to last year,0
00029782,causes donated to last year,0
00029785,causes donated to last year,0
00029786,causes donated to last year,2
00029788,causes donated to last year,2
00029791,causes donated to last year,1
00029793,causes donated to last year,2
00029816,causes donated to last year,1
00029821,causes donated to last year,0
00029836,causes donated to last year,5
00029852,causes donated to last year,3
00029860,causes donated to last year,1
00029868,causes donated to last year,2
00029875,causes donated to last year,1
00029885,causes donated to last year,2
00029903,causes donated to last year,1
00029925,causes donated to last year,1
00029936,causes donated to last year,2
00029946,causes donated to last year,4
00029967,causes donated to last year,5
00029988,causes donated to last year,0
00030017,causes donated to last year,0
00030018,causes donated to last year,1
00030019,causes donated to last year,3
00030028,causes donated to last year,3
00030029,causes donated to last year,3
00030030,causes donated to last year,5
00030047,causes donated to last year,5
00030051,causes donated to last year,1
00030067,causes donated to last year,2
00030068,causes donated to last year,0
00030078,causes donated to last year,4
00030085,causes donated to last year,3
00030088,causes donated to last year,5
00030104,causes donated to last year,5
00030114,causes donated to last year,4
00030117,causes donated to last year,0
00030131,causes donated to last year,5
00030137,causes donated to last year,1
00030154,causes donated to last year,2
00030169,causes donated to last year,1
00030171,causes donated to last year,4
00030185,causes donated to last year,1
00030228,causes donated to last year,0
00030244,causes donated to last year,4
00030255,causes donated to last year,5
00030259,causes donated to last year,4
00030266,causes donated to last year,5
00030267,causes donated to last year,4
00030268,causes donated to last year,3
00030275,causes donated to last year,4
00030304,causes donated to last year,1
00030315,causes donated to last year,3
00030316,causes donated to last year,0
00030318,causes donated to last year,0
00030331,causes donated to last year,2
00030333,causes donated to last year,2
00030334,causes donated to last year,3
00030355,causes donated to last year,5
00030366,causes donated to last year,5
00030371,causes donated to last year,1
00030375,causes donated to last year,3
00030384,causes donated to last year,5
00030389,causes donated to last year,4
00030398,causes donated to last year,3
00030402,causes donated to last year,2
00030414,causes donated to last year,0
00030417,causes donated to last year,4
00030433,causes donated to last year,0
00030443,causes donated to last year,4
00030444,causes donated to last year,3
00030450,causes donated to last year,1
00030454,causes donated to last year,0
00030457,causes donated to last year,0
00030468,causes donated to last year,2
00030472,causes donated to last year,2
00030474,causes donated to last year,1
00030539,causes donated to last year,4
00030541,causes donated to last year,5
00030546,causes donated to last year,2
00030551,causes donated to last year,1
00030576,causes donated to last year,1
00030578,causes donated to last year,1
00030589,causes donated to last year,2
00030623,causes donated to last year,2
00030624,causes donated to last year,5
00030629,causes donated to last year,2
00030640,causes donated to last year,2
00030651,causes donated to last year,3
00030660,causes donated to last year,3
00030665,causes donated to last year,4
00030676,causes donated to last year,0
00030718,causes donated to last year,4
00030744,causes donated to last year,2
00030745,causes donated to last year,0
00030779,causes donated to last year,5
00030780,causes donated to last year,2
00030795,causes donated to last year,5
00030804,causes donated to last year,4
00030829,causes donated to last year,2
00030855,causes donated to last year,5
00030861,causes donated to last year,2
00030864,causes donated to last year,1
00030898,causes donated to last year,4
00030903,causes donated to last year,2
00030907,causes donated to last year,3
00030926,causes donated to last year,2
00030934,causes donated to last year,2
00030963,causes donated to last year,0
00030964,causes donated to last year,0
00030976,causes donated to last year,4
00030978,causes donated to last year,0
00030981,causes donated to last year,1
00030988,causes donated to last year,3
00030995,causes donated to last year,5
00031000,causes donated to last year,0
00031002,causes donated to last year,0
00031007,causes donated to last year,1
00031017,causes donated to last year,3
00031039,causes donated to last year,2
00031045,causes donated to last year,1
00031057,causes donated to last year,0
00031064,causes donated to last year,3
00031065,causes donated to last year,5
00031073,causes donated to last year,2
00031084,causes donated to last year,1
00031094,causes donated to last year,2
00031108,causes donated to last year,5
00031127,causes donated to last year,3
00031141,causes donated to last year,2
00031148,causes donated to last year,2
00031156,causes donated to last year,2
00031163,causes donated to last year,3
00031166,causes donated to last year,0
00031174,causes donated to last year,5
00031183,causes donated to last year,3
00031202,causes donated to last year,2
00031206,causes donated to last year,0
00031211,causes donated to last year,4
00031217,causes donated to last year,4
00031239,causes donated to last year,0
00031247,causes donated to last year,1
00031262,causes donated to last year,0
00031313,causes donated to last year,5
00031324,causes donated to last year,1
00031339,causes donated to last year,2
00031343,causes donated to last year,0
00031365,causes donated to last year,4
00031367,causes donated to last year,1
00031394,causes donated to last year,2
00031400,causes donated to last year,0
00031405,causes donated to last year,5
00031414,causes donated to last year,2
00031416,causes donated to last year,4
00031425,causes donated to last year,3
00031446,causes donated to last year,5
00031461,causes donated to last year,2
00031463,causes donated to last year,5
00031489,causes donated to last year,5
00031491,causes donated to last year,4
00031496,causes donated to last year,4
00031505,causes donated to last year,1
00031549,causes donated to last year,2
00031552,causes donated to last year,3
00031555,causes donated to last year,5
00031559,causes donated to last year,5
00031572,causes donated to last year,3
00031616,causes donated to last year,3
00031631,causes donated to last year,1
00031660,causes donated to last year,0
00031662,causes donated to last year,0
00031685,causes donated to last year,5
00031702,causes donated to last year,0
00031711,causes donated to last year,4
00031712,causes donated to last year,2
00031735,causes donated to last year,4
00031746,causes donated to last year,0
00031752,causes donated to last year,0
00031757,causes donated to last year,1
00031773,causes donated to last year,2
00031778,causes donated to last year,5
00031805,causes donated to last year,3
00031852,causes donated to last year,1
00031879,causes donated to last year,4
00031887,causes donated to last year,0
00031893,causes donated to last year,1
00031900,causes donated to last year,1
00031905,causes donated to last year,3
00031911,causes donated to last year,4
00031916,causes donated to last year,1
00031938,causes donated to last year,2
00031953,causes donated to last year,0
00031959,causes donated to last year,4
00031968,causes donated to last year,3
00031977,causes donated to last year,5
00031981,causes donated to last year,2
00031985,causes donated to last year,1
00031997,causes donated to last year,1
00032007,causes donated to last year,3
00032040,causes donated to last year,4
00032057,causes donated to last year,3
00032079,causes donated to last year,5
00032091,causes donated to last year,4
00032096,causes donated to last year,3
00032098,causes donated to last year,4
00032103,causes donated to last year,2
00032116,causes donated to last year,4
00032119,causes donated to last year,2
00032140,causes donated to last year,5
00032153,causes donated to last year,5
00032198,causes donated to last year,3
00032199,causes donated to last year,2
00032210,causes donated to last year,3
00032219,causes donated to last year,2
00032223,causes donated to last year,5
00032224,causes donated to last year,1
00032230,causes donated to last year,1
00032241,causes donated to last year,4
00032242,causes donated to last year,0
00032260,causes donated to last year,4
00032278,causes donated to last year,4
00032282,causes donated to last year,4
00032288,causes donated to last year,3
00032330,causes donated to last year,4
00032336,causes donated to last year,4
00032350,causes donated to last year,4
00032359,causes donated to last year,5
00032376,causes donated to last year,3
00032380,causes donated to last year,0
00032390,causes donated to last year,1
00032393,causes donated to last year,2
00032394,causes donated to last year,3
00032404,causes donated to last year,1
00032431,causes donated to last year,4
00032441,causes donated to last year,1
00032460,causes donated to last year,5
00032475,causes donated to last year,0
00032485,causes donated to last year,1
00032511,causes donated to last year,0
00032523,causes donated to last year,1
00032527,causes donated to last year,5
00032538,causes donated to last year,2
00032552,causes donated to last year,1
00032577,causes donated to last year,0
00032581,causes donated to last year,2
00032594,causes donated to last year,3
00032604,causes donated to last year,0
00032616,causes donated to last year,0
00032619,causes donated to last year,0
00032620,causes donated to last year,4
00032621,causes donated to last year,5
00032622,causes donated to last year,5
00032627,causes donated to last year,3
00032634,causes donated to last year,2
00032645,causes donated to last year,2
00032661,causes donated to last year,5
00032666,causes donated to last year,3
00032669,causes donated to last year,5
00032694,causes donated to last year,1
00032709,causes donated to last year,2
00032717,causes donated to last year,2
00032719,causes donated to last year,2
00032730,causes donated to last year,2
00032735,causes donated to last year,4
00032742,causes donated to last year,3
00032753,causes donated to last year,2
00032780,causes donated to last year,0
00032784,causes donated to last year,2
00032791,causes donated to last year,4
00032807,causes donated to last year,3
00032812,causes donated to last year,5
00032838,causes donated to last year,4
00032841,causes donated to last year,3
00032843,causes donated to last year,4
00032857,causes donated to last year,4
00032864,causes donated to last year,1
00032880,causes donated to last year,1
00032892,causes donated to last year,2
00032905,causes donated to last year,3
00032908,causes donated to last year,2
00032911,causes donated to last year,1
00032914,causes donated to last year,5
00032934,causes donated to last year,2
00032948,causes donated to last year,4
00032950,causes donated to last year,5
00032952,causes donated to last year,0
00032972,causes donated to last year,4
00032975,causes donated to last year,2
00032984,causes donated to last year,5
00032986,causes donated to last year,4
00033003,causes donated to last year,5
00033011,causes donated to last year,0
00033030,causes donated to last year,0
00033035,causes donated to last year,3
00033064,causes donated to last year,3
00033069,causes donated to last year,1
00033077,causes donated to last year,3
00033111,causes donated to last year,2
00033115,causes donated to last year,4
00033133,causes donated to last year,5
00033135,causes donated to last year,1
00033163,causes donated to last year,2
00033183,causes donated to last year,4
00033185,causes donated to last year,2
00033186,causes donated to last year,0
00033190,causes donated to last year,2
00033192,causes donated to last year,0
00033206,causes donated to last year,0
00033224,causes donated to last year,2
00033243,causes donated to last year,2
00033249,causes donated to last year,3
00033267,causes donated to last year,5
00033283,causes donated to last year,5
00033284,causes donated to last year,5
00033295,causes donated to last year,1
00033311,causes donated to last year,5
00033314,causes donated to last year,2
00033343,causes donated to last year,4
00033344,causes donated to last year,2
00033346,causes donated to last year,4
00033355,causes donated to last year,3
00033356,causes donated to last year,4
00033359,causes donated to last year,5
00033360,causes donated to last year,4
00033365,causes donated to last year,3
00033366,causes donated to last year,2
00033383,causes donated to last year,0
00033393,causes donated to last year,4
00033407,causes donated to last year,5
00033409,causes donated to last year,2
00033420,causes donated to last year,4
00033429,causes donated to last year,0
00033434,causes donated to last year,1
00033442,causes donated to last year,2
00033444,causes donated to last year,4
00033455,causes donated to last year,2
00033460,causes donated to last year,0
00033477,causes donated to last year,2
00033512,causes donated to last year,0
00033518,causes donated to last year,1
00033522,causes donated to last year,3
00033524,causes donated to last year,0
00033525,causes donated to last year,3
00033526,causes donated to last year,4
00033542,causes donated to last year,1
00033545,causes donated to last year,5
00033567,causes donated to last year,4
00033577,causes donated to last year,5
00033615,causes donated to last year,5
00033636,causes donated to last year,1
00033651,causes donated to last year,2
00033673,causes donated to last year,2
00033680,causes donated to last year,2
00033681,causes donated to last year,1
00033699,causes donated to last year,2
00033715,causes donated to last year,2
00033717,causes donated to last year,0
00033725,causes donated to last year,0
00033731,causes donated to last year,2
00033762,causes donated to last year,4
00033769,causes donated to last year,5
00033773,causes donated to last year,4
00033774,causes donated to last year,0
00033776,causes donated to last year,1
00033800,causes donated to last year,2
00033827,causes donated to last year,2
00033863,causes donated to last year,4
00033883,causes donated to last year,5
00033908,causes donated to last year,2
00033911,causes donated to last year,5
00033922,causes donated to last year,3
00033932,causes donated to last year,4
00033933,causes donated to last year,0
00033940,causes donated to last year,3
00033955,causes donated to last year,4
00033971,causes donated to last year,2
00033973,causes donated to last year,3
00033977,causes donated to last year,1
00033982,causes donated to last year,0
00033988,causes donated to last year,4
00033994,causes donated to last year,2
00034001,causes donated to last year,1
00034002,causes donated to last year,4
00034020,causes donated to last year,2
00034068,causes donated to last year,1
00034078,causes donated to last year,1
00034079,causes donated to last year,4
00034087,causes donated to last year,2
00034098,causes donated to last year,0
00034111,causes donated to last year,0
00034114,causes donated to last year,5
00034120,causes donated to last year,0
00034121,causes donated to last year,5
00034132,causes donated to last year,4
00034166,causes donated to last year,1
00034174,causes donated to last year,2
00034188,causes donated to last year,2
00034246,causes donated to last year,0
00034302,causes donated to last year,1
00034306,causes donated to last year,0
00034311,causes donated to last year,0
00034319,causes donated to last year,4
00034328,causes donated to last year,3
00034329,causes donated to last year,2
00034333,causes donated to last year,0
00034353,causes donated to last year,2
00034374,causes donated to last year,1
00034404,causes donated to last year,3
00034417,causes donated to last year,4
00034429,causes donated to last year,3
00034437,causes donated to last year,1
00034448,causes donated to last year,2
00034450,causes donated to last year,4
00034452,causes donated to last year,4
00034457,causes donated to last year,3
00034469,causes donated to last year,0
00034475,causes donated to last year,0
00034485,causes donated to last year,0
00034501,causes donated to last year,2
00034523,causes donated to last year,1
00034538,causes donated to last year,3
00034563,causes donated to last year,1
00034568,causes donated to last year,3
00034572,causes donated to last year,5
00034591,causes donated to last year,5
00034592,causes donated to last year,3
00034597,causes donated to last year,0
00034600,causes donated to last year,1
00034608,causes donated to last year,2
00034612,causes donated to last year,3
00034616,causes donated to last year,2
00034617,causes donated to last year,2
00034632,causes donated to last year,1
00034646,causes donated to last year,5
00034649,causes donated to last year,4
00034654,causes donated to last year,3
00034660,causes donated to last year,1
00034671,causes donated to last year,1
00034678,causes donated to last year,2
00034681,causes donated to last year,5
00034697,causes donated to last year,5
00034717,causes donated to last year,5
00034718,causes donated to last year,4
00034719,causes donated to last year,2
00034726,causes donated to last year,1
00034735,causes donated to last year,5
00034737,causes donated to last year,2
00034739,causes donated to last year,1
00034743,causes donated to last year,2
00034763,causes donated to last year,3
00034767,causes donated to last year,1
00034777,causes donated to last year,1
00034780,causes donated to last year,4
00034783,causes donated to last year,1
00034788,causes donated to last year,3
00034789,causes donated to last year,4
00034797,causes donated to last year,3
00034800,causes donated to last year,5
00034801,causes donated to last year,2
00034808,causes donated to last year,1
00034836,causes donated to last year,0
00034843,causes donated to last year,5
00034849,causes donated to last year,0
00034853,causes donated to last year,3
00034863,causes donated to last year,5
00034877,causes donated to last year,0
00034881,causes donated to last year,0
00034883,causes donated to last year,1
00034897,causes donated to last year,5
00034906,causes donated to last year,5
00034909,causes donated to last year,5
00034917,causes donated to last year,1
00034925,causes donated to last year,5
00034957,causes donated to last year,0
00034998,causes donated to last year,5
00035009,causes donated to last year,5
00035017,causes donated to last year,0
00035027,causes donated to last year,4
00035043,causes donated to last year,0
00035046,causes donated to last year,5
00035055,causes donated to last year,5
00035062,causes donated to last year,0
00035067,causes donated to last year,4
00035069,causes donated to last year,4
00035075,causes donated to last year,4
00035078,causes donated to last year,3
00035101,causes donated to last year,1
00035121,causes donated to last year,4
00035126,causes donated to last year,2
00035143,causes donated to last year,0
00035159,causes donated to last year,2
00035168,causes donated to last year,3
00035181,causes donated to last year,4
00035205,causes donated to last year,0
00035264,causes donated to last year,5
00035267,causes donated to last year,5
00035276,causes donated to last year,0
00035298,causes donated to last year,2
00035300,causes donated to last year,4
00035306,causes donated to last year,5
00035316,causes donated to last year,0
00035322,causes donated to last year,2
00035325,causes donated to last year,2
00035328,causes donated to last year,3
00035346,causes donated to last year,5
00035355,causes donated to last year,3
00035363,causes donated to last year,2
00035365,causes donated to last year,3
00035370,causes donated to last year,5
00035403,causes donated to last year,2
00035417,causes donated to last year,4
00035419,causes donated to last year,0
00035423,causes donated to last year,2
00035456,causes donated to last year,5
00035461,causes donated to last year,1
00035462,causes donated to last year,2
00035463,causes donated to last year,2
00035465,causes donated to last year,1
00035476,causes donated to last year,2
00035493,causes donated to last year,3
00035504,causes donated to last year,2
00035538,causes donated to last year,4
00035550,causes donated to last year,4
00035553,causes donated to last year,1
00035581,causes donated to last year,3
00035607,causes donated to last year,4
00035610,causes donated to last year,0
00035617,causes donated to last year,2
00035641,causes donated to last year,3
00035650,causes donated to last year,2
00035653,causes donated to last year,1
00035657,causes donated to last year,4
00035660,causes donated to last year,3
00035700,causes donated to last year,4
00035704,causes donated to last year,5
00035720,causes donated to last year,2
00035723,causes donated to last year,2
00035728,causes donated to last year,3
00035751,causes donated to last year,3
00035771,causes donated to last year,1
00035803,causes donated to last year,1
00035839,causes donated to last year,2
00035864,causes donated to last year,0
00035866,causes donated to last year,1
00035877,causes donated to last year,3
00035902,causes donated to last year,3
00035906,causes donated to last year,5
00035908,causes donated to last year,3
00035914,causes donated to last year,4
00035922,causes donated to last year,5
00035935,causes donated to last year,4
00035947,causes donated to last year,5
00035949,causes donated to last year,4
00035953,causes donated to last year,3
00035969,causes donated to last year,4
00035980,causes donated to last year,4
00035996,causes donated to last year,3
00036008,causes donated to last year,0
00036013,causes donated to last year,1
00036034,causes donated to last year,3
00036065,causes donated to last year,2
00036069,causes donated to last year,3
00036081,causes donated to last year,3
00036085,causes donated to last year,0
00036094,causes donated to last year,1
00036107,causes donated to last year,4
00036109,causes donated to last year,5
00036125,causes donated to last year,3
00036139,causes donated to last year,0
00036141,causes donated to last year,1
00036165,causes donated to last year,0
00036170,causes donated to last year,4
00036187,causes donated to last year,1
00036190,causes donated to last year,5
00036216,causes donated to last year,4
00036224,causes donated to last year,1
00036225,causes donated to last year,4
00036227,causes donated to last year,0
00036228,causes donated to last year,3
00036238,causes donated to last year,4
00036246,causes donated to last year,4
00036255,causes donated to last year,3
00036270,causes donated to last year,1
00036282,causes donated to last year,5
00036294,causes donated to last year,3
00036298,causes donated to last year,5
00036303,causes donated to last year,5
00036334,causes donated to last year,2
00036335,causes donated to last year,3
00036337,causes donated to last year,0
00036341,causes donated to last year,1
00036348,causes donated to last year,1
00036353,causes donated to last year,2
00036354,causes donated to last year,5
00036371,causes donated to last year,4
00036374,causes donated to last year,2
00036385,causes donated to last year,1
00036392,causes donated to last year,4
00036395,causes donated to last year,4
00036427,causes donated to last year,0
00036428,causes donated to last year,0
00036450,causes donated to last year,1
00036457,causes donated to last year,1
00036460,causes donated to last year,4
00036471,causes donated to last year,5
00036472,causes donated to last year,0
00036474,causes donated to last year,4
00036479,causes donated to last year,3
00036480,causes donated to last year,5
00036484,causes donated to last year,5
00036495,causes donated to last year,2
00036500,causes donated to last year,1
00036507,causes donated to last year,2
00036512,causes donated to last year,4
00036515,causes donated to last year,2
00036516,causes donated to last year,1
00036518,causes donated to last year,3
00036527,causes donated to last year,5
00036528,causes donated to last year,3
00036530,causes donated to last year,4
00036563,causes donated to last year,0
00036576,causes donated to last year,1
00036580,causes donated to last year,3
00036582,causes donated to last year,1
00036587,causes donated to last year,4
00036588,causes donated to last year,4
00036590,causes donated to last year,5
00036595,causes donated to last year,1
00036625,causes donated to last year,5
00036633,causes donated to last year,3
00036636,causes donated to last year,3
00036659,causes donated to last year,2
00036661,causes donated to last year,2
00036672,causes donated to last year,0
00036673,causes donated to last year,2
00036677,causes donated to last year,4
00036682,causes donated to last year,0
00036690,causes donated to last year,0
00036692,causes donated to last year,5
00036697,causes donated to last year,3
00036710,causes donated to last year,1
00036714,causes donated to last year,1
00036734,causes donated to last year,5
00036746,causes donated to last year,3
00036755,causes donated to last year,3
00036774,causes donated to last year,0
00036776,causes donated to last year,3
00036777,causes donated to last year,5
00036792,causes donated to last year,2
00036797,causes donated to last year,1
00036809,causes donated to last year,4
00036810,causes donated to last year,2
00036837,causes donated to last year,3
00036840,causes donated to last year,4
00036842,causes donated to last year,3
00036853,causes donated to last year,4
00036868,causes donated to last year,2
00036871,causes donated to last year,5
00036880,causes donated to last year,1
00036887,causes donated to last year,5
00036893,causes donated to last year,3
00036907,causes donated to last year,3
00036909,causes donated to last year,0
00036913,causes donated to last year,2
00036923,causes donated to last year,1
00036936,causes donated to last year,2
00036939,causes donated to last year,1
00036956,causes donated to last year,4
00036963,causes donated to last year,1
00036987,causes donated to last year,1
00036992,causes donated to last year,3
00036993,causes donated to last year,3
00036997,causes donated to last year,2
00037005,causes donated to last year,4
00037028,causes donated to last year,4
00037047,causes donated to last year,5
00037065,causes donated to last year,1
00037090,causes donated to last year,3
00037092,causes donated to last year,1
00037117,causes donated to last year,0
00037118,causes donated to last year,4
00037121,causes donated to last year,5
00037144,causes donated to last year,4
00037157,causes donated to last year,4
00037202,causes donated to last year,2
00037205,causes donated to last year,4
00037221,causes donated to last year,2
00037232,causes donated to last year,1
00037245,causes donated to last year,5
00037249,causes donated to last year,3
00037250,causes donated to last year,0
00037255,causes donated to last year,1
00037258,causes donated to last year,1
00037262,causes donated to last year,3
00037268,causes donated to last year,5
00037291,causes donated to last year,0
00037299,causes donated to last year,2
00037304,causes donated to last year,1
00037318,causes donated to last year,5
00037321,causes donated to last year,2
00037328,causes donated to last year,1
00037342,causes donated to last year,1
00037375,causes donated to last year,1
00037401,causes donated to last year,3
00037402,causes donated to last year,0
00037405,causes donated to last year,3
00037422,causes donated to last year,4
00037426,causes donated to last year,4
00037427,causes donated to last year,3
00037458,causes donated to last year,0
00037459,causes donated to last year,5
00037460,causes donated to last year,4
00037464,causes donated to last year,3
00037472,causes donated to last year,1
00037479,causes donated to last year,5
00037481,causes donated to last year,3
00037489,causes donated to last year,3
00037505,causes donated to last year,4
00037519,causes donated to last year,5
00037528,causes donated to last year,1
00037531,causes donated to last year,4
00037542,causes donated to last year,0
00037569,causes donated to last year,4
00037575,causes donated to last year,4
00037581,causes donated to last year,1
00037583,causes donated to last year,3
00037593,causes donated to last year,2
00037603,causes donated to last year,5
00037605,causes donated to last year,2
00037607,causes donated to last year,5
00037618,causes donated to last year,0
00037627,causes donated to last year,2
00037637,causes donated to last year,3
00037646,causes donated to last year,0
00037676,causes donated to last year,5
00037694,causes donated to last year,5
00037697,causes donated to last year,2
00037698,causes donated to last year,5
00037709,causes donated to last year,2
00037716,causes donated to last year,4
00037729,causes donated to last year,5
00037747,causes donated to last year,4
00037762,causes donated to last year,4
00037764,causes donated to last year,1
00037768,causes donated to last year,5
00037771,causes donated to last year,0
00037772,causes donated to last year,0
00037785,causes donated to last year,0
00037792,causes donated to last year,1
00037794,causes donated to last year,4
00037800,causes donated to last year,5
00037809,causes donated to last year,4
00037831,causes donated to last year,5
00037833,causes donated to last year,1
00037852,causes donated to last year,4
00037860,causes donated to last year,2
00037861,causes donated to last year,1
00037872,causes donated to last year,1
00037885,causes donated to last year,1
00037887,causes donated to last year,0
00037894,causes donated to last year,2
00037904,causes donated to last year,1
00037909,causes donated to last year,0
00037915,causes donated to last year,2
00037921,causes donated to last year,0
00037932,causes donated to last year,5
00037936,causes donated to last year,4
00037944,causes donated to last year,0
00037998,causes donated to last year,1
00038011,causes donated to last year,4
00038025,causes donated to last year,0
00038031,causes donated to last year,0
00038035,causes donated to last year,3
00038036,causes donated to last year,3
00038040,causes donated to last year,3
00038044,causes donated to last year,5
00038064,causes donated to last year,3
00038070,causes donated to last year,3
00038075,causes donated to last year,2
00038082,causes donated to last year,0
00038084,causes donated to last year,5
00038098,causes donated to last year,2
00038105,causes donated to last year,2
00038106,causes donated to last year,0
00038110,causes donated to last year,3
00038111,causes donated to last year,5
00038119,causes donated to last year,5
00038123,causes donated to last year,4
00038130,causes donated to last year,4
00038139,causes donated to last year,4
00038144,causes donated to last year,0
00038152,causes donated to last year,1
00038156,causes donated to last year,1
00038159,causes donated to last year,5
00038161,causes donated to last year,2
00038165,causes donated to last year,4
00038172,causes donated to last year,0
00038174,causes donated to last year,3
00038175,causes donated to last year,5
00038181,causes donated to last year,0
00038184,causes donated to last year,5
00038186,causes donated to last year,5
00038187,causes donated to last year,5
00038202,causes donated to last year,5
00038203,causes donated to last year,3
00038208,causes donated to last year,1
00038217,causes donated to last year,4
00038243,causes donated to last year,2
00038245,causes donated to last year,2
00038249,causes donated to last year,0
00038261,causes donated to last year,1
00038265,causes donated to last year,2
00038266,causes donated to last year,5
00038268,causes donated to last year,5
00038269,causes donated to last year,2
00038273,causes donated to last year,3
00038278,causes donated to last year,1
00038280,causes donated to last year,0
00038286,causes donated to last year,5
00038312,causes donated to last year,2
00038327,causes donated to last year,4
00038340,causes donated to last year,3
00038364,causes donated to last year,2
00038376,causes donated to last year,4
00038388,causes donated to last year,4
00038392,causes donated to last year,0
00038414,causes donated to last year,3
00038425,causes donated to last year,1
00038438,causes donated to last year,4
00038444,causes donated to last year,0
00038471,causes donated to last year,5
00038472,causes donated to last year,3
00038519,causes donated to last year,5
00038521,causes donated to last year,2
00038538,causes donated to last year,3
00038539,causes donated to last year,0
00038554,causes donated to last year,4
00038557,causes donated to last year,0
00038561,causes donated to last year,4
00038562,causes donated to last year,5
00038579,causes donated to last year,2
00038580,causes donated to last year,3
00038581,causes donated to last year,4
00038591,causes donated to last year,4
00038632,causes donated to last year,0
00038638,causes donated to last year,5
00038642,causes donated to last year,5
00038656,causes donated to last year,5
00038663,causes donated to last year,1
00038664,causes donated to last year,2
00038677,causes donated to last year,5
00038678,causes donated to last year,1
00038685,causes donated to last year,5
00038692,causes donated to last year,0
00038698,causes donated to last year,2
00038700,causes donated to last year,5
00038707,causes donated to last year,4
00038734,causes donated to last year,5
00038742,causes donated to last year,4
00038743,causes donated to last year,4
00038744,causes donated to last year,4
00038759,causes donated to last year,4
00038761,causes donated to last year,0
00038767,causes donated to last year,2
00038777,causes donated to last year,4
00038788,causes donated to last year,0
00038789,causes donated to last year,5
00038812,causes donated to last year,2
00038820,causes donated to last year,0
00038833,causes donated to last year,1
00038838,causes donated to last year,0
00038841,causes donated to last year,4
00038853,causes donated to last year,4
00038857,causes donated to last year,1
00038876,causes donated to last year,1
00038882,causes donated to last year,3
00038894,causes donated to last year,3
00038924,causes donated to last year,5
00038944,causes donated to last year,0
00038946,causes donated to last year,3
00038948,causes donated to last year,4
00038958,causes donated to last year,1
00038984,causes donated to last year,3
00038987,causes donated to last year,5
00038989,causes donated to last year,1
00038997,causes donated to last year,2
00039006,causes donated to last year,0
00039014,causes donated to last year,5
00039020,causes donated to last year,0
00039025,causes donated to last year,2
00039031,causes donated to last year,5
00039048,causes donated to last year,1
00039050,causes donated to last year,3
00039070,causes donated to last year,5
00039074,causes donated to last year,1
00039078,causes donated to last year,5
00039083,causes donated to last year,2
00039105,causes donated to last year,2
00039115,causes donated to last year,5
00039155,causes donated to last year,2
00039168,causes donated to last year,3
00039174,causes donated to last year,3
00039201,causes donated to last year,0
00039217,causes donated to last year,1
00039228,causes donated to last year,3
00039244,causes donated to last year,5
00039246,causes donated to last year,5
00039257,causes donated to last year,1
00039277,causes donated to last year,2
00039283,causes donated to last year,5
00039289,causes donated to last year,2
00039294,causes donated to last year,4
00039306,causes donated to last year,2
00039316,causes donated to last year,0
00039326,causes donated to last year,2
00039348,causes donated to last year,2
00039357,causes donated to last year,1
00039374,causes donated to last year,4
00039395,causes donated to last year,4
00039427,causes donated to last year,4
00039438,causes donated to last year,1
00039456,causes donated to last year,2
00039479,causes donated to last year,0
00039484,causes donated to last year,4
00039496,causes donated to last year,2
00039505,causes donated to last year,4
00039515,causes donated to last year,4
00039520,causes donated to last year,1
00039530,causes donated to last year,0
00039538,causes donated to last year,3
00039542,causes donated to last year,4
00039563,causes donated to last year,1
00039566,causes donated to last year,2
00039569,causes donated to last year,2
00039570,causes donated to last year,4
00039612,causes donated to last year,0
00039613,causes donated to last year,1
00039617,causes donated to last year,2
00039632,causes donated to last year,5
00039647,causes donated to last year,1
00039650,causes donated to last year,0
00039657,causes donated to last year,5
